dataset,id,image size,voxels size
amsterdam100,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam100,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam100,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam101,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam101,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam101,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam102,T1.nii,"(132, 256, 83)","(1.1999, 0.9766, 3.0)"
amsterdam102,lesion.nii,"(132, 256, 83)","(1.1999, 0.9766, 3.0)"
amsterdam102,FLAIR.nii,"(132, 256, 83)","(1.1999, 0.9766, 3.0)"
amsterdam103,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam103,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam103,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam104,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam104,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam104,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam105,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam105,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam105,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam106,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam106,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam106,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam107,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam107,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam107,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam108,T1.nii,"(132, 256, 83)","(1.1999848, 0.9766, 3.0)"
amsterdam108,lesion.nii,"(132, 256, 83)","(1.1999848, 0.9766, 3.0)"
amsterdam108,FLAIR.nii,"(132, 256, 83)","(1.1999848, 0.9766, 3.0)"
amsterdam109,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam109,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam109,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam110,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam110,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam110,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam112,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam112,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam112,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam113,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam113,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam113,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam114,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam114,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam114,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam115,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam115,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam116,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam116,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam116,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam126,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam126,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam126,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam132,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam132,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam132,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam137,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam137,lesion.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam137,FLAIR.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
amsterdam144,T1.nii,"(132, 256, 83)","(1.2, 0.9766, 3.0)"
